"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"1248","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","12.8","2.1","2101369.82","2.1","0.02","True"
"10080","SECOCL64","C:\WINDOWS\System32\SECOCL64.exe","01-06-2026 10:48:53","12.62","2.38","4219.4","2.38","0.11","True"
"13860","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:06","12.54","2.86","2199793.38","2.86","0.06","True"
"5336","svchost",,,"12.36","2.38","2101347.65","2.38",,"True"
"3224","svchost",,,"12.3","2.69","2101345.59","2.69",,"True"
"1668","svchost",,,"12.24","3.16","2101342.98","3.16",,"True"
"1260","services",,,"12.08","6.14","2101327.73","6.14",,"True"
"15408","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 11:01:46","11.84","2.88","2101418.17","2.88","0","True"
"2476","svchost",,,"11.83","3.66","2101348.73","3.66",,"True"
"15572","Docker Desktop","C:\Program Files\Docker\Docker\Docker Desktop.exe","01-06-2026 11:01:42","11.79","45.74","5320.09","45.74","0.02","True"
"6440","svchost",,,"11.79","2.39","2101343.91","2.39",,"True"
"15580","svchost",,,"11.72","3.72","2101331","3.72",,"True"
"2136","svchost",,,"11.61","3.51","2101346.58","3.51",,"True"
"1252","AcrobatNotificationClient","C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe","01-06-2026 10:50:35","11.6","43.58","336.6","43.58","0.31","True"
"15652","wslrelay","C:\Program Files\WSL\wslrelay.exe","01-06-2026 11:01:46","11.59","2.1","2101372.58","2.1","0.02","True"
"13128","UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","01-06-2026 10:49:04","11.56","1.95","2101342.53","1.95","0.06","True"
"11252","AggregatorHost",,,"11.51","2.24","2101314.71","2.24",,"True"
"9140","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","11.46","2.08","2101355.5","2.08","0.05","True"
"3784","svchost",,,"11.46","2.03","2101344.47","2.03",,"True"
