"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"5844","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 13:10:34","33.5","12.68","2101479.47","12.68","29.27","True"
"12600","SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","01-06-2026 10:49:03","31.64","80.94","2151072.42","80.94","9.09","True"
"13736","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:05","31.6","44.8","2299314.04","44.8","24.05","True"
"19292","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","30.36","126.92","3529428.33","126.92","213.19","True"
"1436","svchost",,,"29.12","18.99","2101473.64","18.99",,"True"
"192204","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 11:12:27","29.11","20.53","2249466.28","20.53","27.44","True"
"184","Registry",,,"27.08","11.04","162.58","11.04",,"True"
"6316","mongod",,,"27","164.68","4464.67","164.68",,"True"
"19464","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","26.41","94.16","3524397.81","94.16","162.2","True"
"10124","CrossDeviceService","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26032.83.0_x64__cw5n1h2txyewy\CrossDeviceService.exe","01-06-2026 10:49:01","25.81","22.64","2134213.23","22.64","16.44","True"
"31648","OneDrive.Sync.Service","C:\Program Files\Microsoft OneDrive\26.084.0504.0007\OneDrive.Sync.Service.exe","02-06-2026 13:46:29","25.09","112.56","2102382.74","112.56","13.31","True"
"3352","svchost",,,"24.04","27.29","2101420.88","27.29",,"True"
"10688","svchost",,,"23.21","10.41","2101431.19","10.41",,"True"
"4116","SysInfoCap",,,"23.07","206.68","2101704.25","206.68",,"True"
"4108","TouchpointAnalyticsClientService",,,"22.25","56.57","4792.2","56.57",,"True"
